Location,Lat,Long
Cinematics,34.0237,-118.286353
Generations,34.0223,-118.283211
Village,34.025264,-118.285133
Y Triumphant,34.020614,-118.2846
Hahn Plaza,34.0202222,-118.2874665
Epstein Plaza,34.020431,-118.289017
